variant,comparison,metric,role,median,ci_lo,ci_hi,excludes_zero,n_a_hop3plus,n_b_hop1,hop3plus_median,hop3plus_ci_lo,hop3plus_ci_hi,hop1_median,hop1_ci_lo,hop1_ci_hi,hop1_separates,branch,branch_if_hop1_were_null,declared_floor_tokens,observed_power_at_declared_floor,gradient_for_80pc_power
all,hop3plus_minus_hop1,prompt_tokens,PRIMARY,-42616.5,-162312.5,39690.0,False,30,30,40061.5,5297.0,75281.0,82678.0,17402.0,195848.5,True,H4-confounded,H2,25000,0.065,125000
all,hop3plus_minus_hop1,turns,secondary,0.0,-2.0,1.5,False,30,30,0.0,-1.0,1.0,0.0,-1.0,1.5,False,"n/a (secondary, no pre-registered branch)","n/a (secondary, no pre-registered branch)",,,
all,hop3plus_minus_hop1,cost_total_billed,secondary,-0.11307449999999997,-0.32061300000000004,0.07501599999999999,False,30,30,0.07661400000000004,0.004897499999999999,0.1547565,0.1896885,0.02668150000000005,0.38693449999999996,True,"n/a (secondary, no pre-registered branch)","n/a (secondary, no pre-registered branch)",,,
excl_ws8_q067,hop3plus_minus_hop1,prompt_tokens,PRIMARY,-43743.0,-167415.5,37616.5,False,29,30,38935.0,4640.0,73990.0,82678.0,17402.0,195848.5,True,H4-confounded,H2,25000,0.065,125000
excl_ws8_q067,hop3plus_minus_hop1,turns,secondary,0.0,-2.0,1.5,False,29,30,0.0,-1.0,1.0,0.0,-1.0,1.5,False,"n/a (secondary, no pre-registered branch)","n/a (secondary, no pre-registered branch)",,,
excl_ws8_q067,hop3plus_minus_hop1,cost_total_billed,secondary,-0.11492650000000001,-0.327752,0.0661240000000001,False,29,30,0.074762,-0.0003630000000000022,0.138325,0.1896885,0.02668150000000005,0.38693449999999996,True,"n/a (secondary, no pre-registered branch)","n/a (secondary, no pre-registered branch)",,,
