arm_key,family,recall_ws4_main,recall_ci_lo,recall_ci_hi,recall_ws4_all3610,recall_gt_sweep,delta_ws4_minus_gt,n_main
sq8_np512,reference,0.992,0.9893333333333333,0.9944444444444445,0.9918836565096953,0.99166,0.00034000000000000696,450
sq8_np64,pruning,0.9691111111111111,0.9628888888888889,0.9751111111111112,0.9649584487534626,0.96516,0.0039511111111111274,450
refine_np64,pruning,0.9673333333333333,0.9602222222222223,0.9742222222222222,0.9593628808864266,0.96015,0.007183333333333319,450
pca_uc_512_sq8_np512,truncation,0.9642222222222223,0.9593333333333335,0.968888888888889,0.9602216066481994,0.96303,0.0011922222222222612,450
pca_uc_384_sq8_np512,truncation,0.9231111111111113,0.9162222222222224,0.9300000000000003,0.9132132963988919,0.91524,0.007871111111111273,450
sq8_np16,pruning,0.9184444444444445,0.9064388888888888,0.9300055555555556,0.899972299168975,0.90175,0.016694444444444456,450
sq8_np8,pruning,0.8660000000000001,0.8502222222222223,0.8817777777777779,0.8453185595567867,0.84607,0.019930000000000114,450
pq_np256,quantization,0.8171111111111112,0.8071111111111112,0.8271111111111112,0.8186149584487534,0.81941,-0.0022988888888887393,450
sq8_np4,pruning,0.8006666666666669,0.780888888888889,0.8204444444444444,0.7747091412742382,0.77454,0.026126666666666853,450
rabitq_np256,quantization,0.7811111111111112,0.7699944444444444,0.7922222222222223,0.7730747922437673,0.77763,0.003481111111111157,450
mrl_512_sq8_np512,truncation,0.7575555555555556,0.7444444444444445,0.7704500000000001,0.7481163434903048,0.75386,0.003695555555555674,450
