k,n_fixed_separable,n_fixed_identical,fixed_separable_rate,fixed_identical_rate,fixed_signal,n_newcomers_vs_k1,newcomer_discriminating_rate,committed_signal,retrieval_attributable_excess,fixed_signal_k_lo,fixed_signal_k_hi,fixed_signal_max_pair,fixed_signal_max_pair_ci_lo,fixed_signal_max_pair_ci_hi,fixed_signal_max_pair_below_flat_min_diff,n_fixed_disc,n_fixed_disc_overlap_vs_k1,n_fixed_identical_disc,n_fixed_identical_disc_overlap_vs_k1,sep_at_k10_rate_at_this_k,newcomers_at_k10_rate_at_this_k,note
1,98,23,0.47959183673469385,0.08695652173913043,0.3926353149955634,0,,0.4073026801081878,39.9157,1,3,0.020408,-0.222272,0.181455,True,47,47,2,2,0.23651452282157676,0.06993006993006994,"DIAGNOSTIC ONLY: separable(k) is nested/monotone in k, so the committed signal(k)'s denominator changes composition as k grows. fixed_separable_rate/fixed_identical_rate hold the SAME 98/23 questions fixed at every k. This does NOT change signal(k), the branch rule, or any committed number. n_fixed_disc*/n_fixed_identical_disc* report the fixed-98/fixed-23 discriminating SET's overlap against k=1, not just its rate: the rate can be identical while the set churns. sep_at_k10_rate_at_this_k / newcomers_at_k10_rate_at_this_k are the 241-separable-at-k=10 and 143-newcomer populations, each FIXED at their k=10 definition and read back at every other k."
3,98,23,0.45918367346938777,0.08695652173913043,0.37222715173025733,74,0.17567567567567569,0.29373104145601614,50.5217,1,3,0.020408,-0.222272,0.181455,True,45,33,2,0,0.24896265560165975,0.1048951048951049,"DIAGNOSTIC ONLY: separable(k) is nested/monotone in k, so the committed signal(k)'s denominator changes composition as k grows. fixed_separable_rate/fixed_identical_rate hold the SAME 98/23 questions fixed at every k. This does NOT change signal(k), the branch rule, or any committed number. n_fixed_disc*/n_fixed_identical_disc* report the fixed-98/fixed-23 discriminating SET's overlap against k=1, not just its rate: the rate can be identical while the set churns. sep_at_k10_rate_at_this_k / newcomers_at_k10_rate_at_this_k are the 241-separable-at-k=10 and 143-newcomer populations, each FIXED at their k=10 definition and read back at every other k."
5,98,23,0.46938775510204084,0.08695652173913043,0.3824312333629104,108,0.12962962962962962,0.20505523937060594,42.2414,1,3,0.020408,-0.222272,0.181455,True,46,32,2,1,0.26141078838174275,0.11888111888111888,"DIAGNOSTIC ONLY: separable(k) is nested/monotone in k, so the committed signal(k)'s denominator changes composition as k grows. fixed_separable_rate/fixed_identical_rate hold the SAME 98/23 questions fixed at every k. This does NOT change signal(k), the branch rule, or any committed number. n_fixed_disc*/n_fixed_identical_disc* report the fixed-98/fixed-23 discriminating SET's overlap against k=1, not just its rate: the rate can be identical while the set churns. sep_at_k10_rate_at_this_k / newcomers_at_k10_rate_at_this_k are the 241-separable-at-k=10 and 143-newcomer populations, each FIXED at their k=10 definition and read back at every other k."
10,98,23,0.47959183673469385,0.08695652173913043,0.3926353149955634,143,0.1888111888111888,0.22009742016958328,53.0435,1,3,0.020408,-0.222272,0.181455,True,47,32,2,0,0.3070539419087137,0.1888111888111888,"DIAGNOSTIC ONLY: separable(k) is nested/monotone in k, so the committed signal(k)'s denominator changes composition as k grows. fixed_separable_rate/fixed_identical_rate hold the SAME 98/23 questions fixed at every k. This does NOT change signal(k), the branch rule, or any committed number. n_fixed_disc*/n_fixed_identical_disc* report the fixed-98/fixed-23 discriminating SET's overlap against k=1, not just its rate: the rate can be identical while the set churns. sep_at_k10_rate_at_this_k / newcomers_at_k10_rate_at_this_k are the 241-separable-at-k=10 and 143-newcomer populations, each FIXED at their k=10 definition and read back at every other k."
