stratum,k,n,always,never,discriminating,share,n_separable,n_identical,separable_rate,null,signal
plus_unanswerable,1,246,103,86,57,0.23170731707317074,88,158,0.5113636363636364,0.0759493670886076,0.43541426927502874
plus_unanswerable,3,246,111,75,60,0.24390243902439024,155,91,0.36129032258064514,0.04395604395604396,0.3173342786246012
plus_unanswerable,5,246,116,66,64,0.2601626016260163,189,57,0.31216931216931215,0.08771929824561403,0.22445001392369812
plus_unanswerable,10,246,123,49,74,0.3008130081300813,223,23,0.32286995515695066,0.08695652173913043,0.23591343341782023
disputed_included,1,241,101,85,55,0.22821576763485477,92,149,0.4891304347826087,0.06711409395973154,0.42201634082287715
disputed_included,3,241,109,72,60,0.24896265560165975,160,81,0.35625,0.037037037037037035,0.319212962962963
disputed_included,5,241,115,64,62,0.2572614107883817,190,51,0.30526315789473685,0.0784313725490196,0.22683178534571724
disputed_included,10,241,121,49,71,0.2946058091286307,221,20,0.3167420814479638,0.05,0.2667420814479638
