k,dedup_rule,n,always,never,discriminating,share,n_separable,n_identical,separable_rate,null,signal,fixed_separable_rate,fixed_identical_rate,fixed_signal,fixed_signal_k_lo,fixed_signal_k_hi,fixed_signal_max_pair,fixed_signal_max_pair_ci_lo,fixed_signal_max_pair_ci_hi,fixed_signal_margin_vs_flat_min_diff,note
1,last_wins,264,104,101,59,0.22348484848484848,98,166,0.47959183673469385,0.07228915662650602,0.4073026801081878,0.47959183673469385,0.08695652173913043,0.3926353149955634,1,3,0.020408,-0.222272,0.181455,4.9,"fixed_signal_* columns are the SAME fixed-98/fixed-23 diagnostic as composition_check.csv, recomputed under this row's dedup_rule across all four depths (k=3/10 unchanged since they have zero duplicate raw lines). Under first_wins the fixed-98 rate at k=1 moves 0.4796->0.5000, the max pairwise difference moves 0.0204->0.0843, and the margin against WS4E_FLAT_MIN_DIFF shrinks 4.90x->1.19x. The conclusion (non-flat CI still includes zero) is unchanged; the margin is not."
1,first_wins,264,98,101,65,0.24621212121212122,98,166,0.5,0.0963855421686747,0.4036144578313253,0.5,0.043478260869565216,0.4565217391304348,1,3,0.084295,-0.273292,0.094499,1.1863,"fixed_signal_* columns are the SAME fixed-98/fixed-23 diagnostic as composition_check.csv, recomputed under this row's dedup_rule across all four depths (k=3/10 unchanged since they have zero duplicate raw lines). Under first_wins the fixed-98 rate at k=1 moves 0.4796->0.5000, the max pairwise difference moves 0.0204->0.0843, and the margin against WS4E_FLAT_MIN_DIFF shrinks 4.90x->1.19x. The conclusion (non-flat CI still includes zero) is unchanged; the margin is not."
5,last_wins,264,116,83,65,0.24621212121212122,206,58,0.2912621359223301,0.08620689655172414,0.20505523937060594,0.46938775510204084,0.08695652173913043,0.3824312333629104,1,3,0.020408,-0.222272,0.181455,4.9,"fixed_signal_* columns are the SAME fixed-98/fixed-23 diagnostic as composition_check.csv, recomputed under this row's dedup_rule across all four depths (k=3/10 unchanged since they have zero duplicate raw lines). Under first_wins the fixed-98 rate at k=1 moves 0.4796->0.5000, the max pairwise difference moves 0.0204->0.0843, and the margin against WS4E_FLAT_MIN_DIFF shrinks 4.90x->1.19x. The conclusion (non-flat CI still includes zero) is unchanged; the margin is not."
5,first_wins,264,116,83,65,0.24621212121212122,206,58,0.2912621359223301,0.08620689655172414,0.20505523937060594,0.46938775510204084,0.08695652173913043,0.3824312333629104,1,3,0.084295,-0.273292,0.094499,1.1863,"fixed_signal_* columns are the SAME fixed-98/fixed-23 diagnostic as composition_check.csv, recomputed under this row's dedup_rule across all four depths (k=3/10 unchanged since they have zero duplicate raw lines). Under first_wins the fixed-98 rate at k=1 moves 0.4796->0.5000, the max pairwise difference moves 0.0204->0.0843, and the margin against WS4E_FLAT_MIN_DIFF shrinks 4.90x->1.19x. The conclusion (non-flat CI still includes zero) is unchanged; the margin is not."
