k,n,always,never,discriminating,share,n_separable,n_identical,separable_rate,null,signal,share_ci_lo,share_ci_hi,separable_rate_ci_lo,separable_rate_ci_hi,null_ci_lo,null_ci_hi,signal_ci_lo,signal_ci_hi,signal_withdrawn_reason,inverted_fraction,stratum,arms,note
1,264,104,101,59,0.22348484848484848,98,166,0.47959183673469385,0.07228915662650602,0.4073026801081878,0.174242,0.276515,0.37931,0.577591,0.03597,0.115152,0.296131,0.513467,,0.255319,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Per-question discrimination among eligible questions (bucket decomposition). Compare against slope_by_k.csv, which answers a DIFFERENT question -- how strongly recall@10 predicts judge accuracy -- and moves in the OPPOSITE direction with k on this data. See also composition_check.csv for a fixed-population diagnostic of this statistic."
3,264,111,91,62,0.23484848484848486,172,92,0.3372093023255814,0.043478260869565216,0.29373104145601614,0.185606,0.287879,0.268149,0.409091,0.010101,0.089744,0.210951,0.374278,,0.172414,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Per-question discrimination among eligible questions (bucket decomposition). Compare against slope_by_k.csv, which answers a DIFFERENT question -- how strongly recall@10 predicts judge accuracy -- and moves in the OPPOSITE direction with k on this data. See also composition_check.csv for a fixed-population diagnostic of this statistic."
5,264,116,83,65,0.24621212121212122,206,58,0.2912621359223301,0.08620689655172414,0.20505523937060594,0.193182,0.299242,0.229268,0.35468,0.018519,0.163934,0.105263,0.297795,,0.116667,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Per-question discrimination among eligible questions (bucket decomposition). Compare against slope_by_k.csv, which answers a DIFFERENT question -- how strongly recall@10 predicts judge accuracy -- and moves in the OPPOSITE direction with k on this data. See also composition_check.csv for a fixed-population diagnostic of this statistic."
10,264,123,65,76,0.2878787878787879,241,23,0.3070539419087137,0.08695652173913043,0.22009742016958328,0.234848,0.344697,0.24898,0.367347,0.0,0.222222,0.074991,0.336032,,0.108108,primary,sq8_np1|sq8_np4|sq8_np48|sq8_np512,"Per-question discrimination among eligible questions (bucket decomposition). Compare against slope_by_k.csv, which answers a DIFFERENT question -- how strongly recall@10 predicts judge accuracy -- and moves in the OPPOSITE direction with k on this data. See also composition_check.csv for a fixed-population diagnostic of this statistic."
