arm,transform,dim,quantizer,best_recall_at_10,best_recall_at_100,at_nprobe,recall_loss_vs_full_dim_gt,recall_loss_vs_1024_control,exact_search_ceiling_at_10,quantizer_loss_below_ceiling,single_digit_loss,loaded_MiB,footprint_compression_vs_flat_1024,footprint_compression_vs_raw_1024,payload_compression_vs_1024_fp32,dim_compression,p50_ms_at_best,qps_at_best,nprobe_for_0p95,qps_at_0p95,segment_heap_MiB,index_files_MiB,n_rows,scale
pca_uc_128_sq8,pca_uc,128,sq8,0.55336,0.617268,512,0.44664000000000004,0.43803000000000003,0.55354,0.000180000000000069,False,189.16787338256836,20.935749699082802,20.64964800920555,32.0,8.0,9.97983300476335,256.0311156217491,,,54.12099838256836,135.046875,1000000,1m
mrl_128_sq8,mrl,128,sq8,0.33099,0.35126,512,0.66901,0.6604,0.33228,0.0012900000000000134,False,193.11318588256836,20.5080312364249,20.22777461905362,32.0,8.0,7.039416494080797,419.40550114921035,,,54.12099838256836,138.9921875,1000000,1m
pca_128_sq8,pca,128,sq8,0.54953,0.609434,512,0.45047000000000004,0.44186000000000003,0.55001,0.00048000000000003595,False,193.24990272521973,20.49352259636816,20.21346424972985,32.0,8.0,6.4088545041158795,502.6339484087443,,,54.12099647521973,139.12890625,1000000,1m
mrl_128_refine_k2,mrl,128,refine_k2,0.30918,0.337438,64,0.69082,0.67715,0.33228,0.02310000000000001,False,212.69912910461426,18.619593154504006,18.365143366801206,28.444444444444443,8.0,3.140062515740283,724.6443434264277,,,54.12100410461426,158.578125,1000000,1m
pca_128_refine_k2,pca,128,refine_k2,0.53238,0.573887,256,0.46762000000000004,0.4539500000000001,0.55001,0.017630000000000035,False,212.69912910461426,18.619593154504006,18.365143366801206,28.444444444444443,8.0,25.21554150735028,250.56579585838162,,,54.12100410461426,158.578125,1000000,1m
pca_uc_256_sq8,pca_uc,256,sq8,0.78759,0.823627,512,0.21241,0.20379999999999998,0.78924,0.0016500000000000403,False,316.1796054840088,12.525701150719984,12.354528667401869,16.0,4.0,15.947750012855977,170.8714894954566,,,54.12101173400879,262.05859375,1000000,1m
mrl_256_sq8,mrl,256,sq8,0.51703,0.535943,512,0.48297,0.47436,0.51881,0.0017800000000000038,False,318.13272857666016,12.448801687157793,12.278680088894767,16.0,4.0,6.502500007627532,359.5446501390809,,,54.121009826660156,264.01171875,1000000,1m
pca_256_sq8,pca,256,sq8,0.74181,0.766112,512,0.25819000000000003,0.24958000000000002,0.74336,0.0015500000000000513,False,326.4335136413574,12.132244646290756,11.966449021811156,16.0,4.0,13.51712498581037,226.91599320690386,,,54.12101364135742,272.3125,1000000,1m
pca_256_refine_k2,pca,256,refine_k2,0.71614,0.729417,64,0.28386,0.27019000000000004,0.74336,0.027220000000000022,False,356.5780391693115,11.106604482629855,10.954824949680152,14.222222222222221,4.0,9.490020995144732,496.0333145898748,,,54.12100791931152,302.45703125,1000000,1m
mrl_256_refine_k2,mrl,256,refine_k2,0.50009,0.50608,64,0.49990999999999997,0.48624,0.51881,0.01871999999999996,False,356.58194732666016,11.10648275364651,10.954704884208663,14.222222222222221,4.0,9.3894165038364,476.36772003008974,,,54.121009826660156,302.4609375,1000000,1m
