workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,hit_rate_basis
memory,S,98134,replay,memsearch,openai,0.5,True,pca_uc_384_sq8,dedicated,0.10832623333333334,0.011685333333333334,0.0966409,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,29.25968962260611,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.9,True,pca_uc_384_sq8,dedicated,0.03766975333333333,0.011685333333333334,0.02598442,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,108.82223805069788,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.95,True,pca_uc_384_sq8,dedicated,0.02883769333333334,0.011685333333333334,0.017152360000000005,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,164.8567741610667,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.99,True,pca_uc_384_sq8,dedicated,0.021772045333333337,0.011685333333333334,0.010086712000000003,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,280.33741211698265,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.0,False,pca_uc_384_sq8,dedicated,0.19664683333333335,0.011685333333333334,0.18496150000000003,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,15.287953108345869,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,openai,1.0,True,sq8,dedicated,0.02000563333333333,0.011685333333333334,0.008320299999999997,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,339.8534594725329,True,False,,,True,measured
memory,S,98134,replay,memsearch,openai,0.5,True,sq8,dedicated,0.10832623333333334,0.011685333333333334,0.0966409,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,29.25968962260611,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.9,True,sq8,dedicated,0.03766975333333333,0.011685333333333334,0.02598442,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,108.82223805069788,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.95,True,sq8,dedicated,0.02883769333333334,0.011685333333333334,0.017152360000000005,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,164.8567741610667,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.99,True,sq8,dedicated,0.021772045333333337,0.011685333333333334,0.010086712000000003,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,280.33741211698265,True,False,,,True,sweep
