workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,churn_frac_per_day,edit_kind,live_cache,reembed_share_of_fixed
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.0004998400000000001,2.8281825788493147,333.8217739942694,True,False,,,True,0.1,mid_edit,measured,0.0001767354073029355
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,dedicated,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,86.06751,0.00099968,0.0004998400000000001,2.8281825788493147,7.4156292709203955,True,False,,,True,0.1,mid_edit,invalidated,0.0001767354073029355
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.00049984,2.8281825788493147,333.8217739942694,True,False,,,True,0.5,append,measured,0.00017673540730293546
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,dedicated,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,86.06751,0.00099968,0.00049984,2.8281825788493147,7.4156292709203955,True,False,,,True,0.5,append,invalidated,0.00017673540730293546
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.0024992,2.830181938849315,334.05776650304324,True,False,,,True,0.5,mid_edit,measured,0.0008830527697509496
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,dedicated,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,86.06751,0.00099968,0.0024992,2.830181938849315,7.420871687958811,True,False,,,True,0.5,mid_edit,invalidated,0.0008830527697509496
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.00099968,2.828682418849315,333.8807721214629,True,False,,,True,1.0,append,measured,0.0003534083548363346
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,dedicated,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,86.06751,0.00099968,0.00099968,2.828682418849315,7.41693987518,True,False,,,True,1.0,append,invalidated,0.0003534083548363346
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,dedicated,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,86.06751,0.00099968,0.0049984,2.8326811388493147,334.3527571390106,True,False,,,True,1.0,mid_edit,measured,0.0017645473510761746
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,dedicated,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,86.06751,0.00099968,0.0049984,2.8326811388493147,7.427424709256829,True,False,,,True,1.0,mid_edit,invalidated,0.0017645473510761746
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.004841004967082352,True,False,,,True,0.0,append,measured,0.0
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.00010753971409661008,True,False,,,True,0.0,append,invalidated,0.0
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.004841004967082352,True,False,,,True,0.0,mid_edit,measured,0.0
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.00010753971409661008,True,False,,,True,0.0,mid_edit,invalidated,0.0
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.996800000000001e-08,4.111360754845061e-05,0.004852804592521045,True,False,,,True,0.0001,append,measured,0.0024315064028908686
memory,S,98134,replay,memsearch,claude,0.0,True,pca_uc_384_sq8,marginal,0.3928578333333333,0.0114765,0.3813813333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,9.996800000000001e-08,4.111360754845061e-05,0.00010780183494853083,True,False,,,True,0.0001,append,invalidated,0.0024315064028908686
memory,S,98134,replay,memsearch,claude,1.0,True,pca_uc_384_sq8,marginal,0.01994863333333333,0.0114765,0.00847213333333333,0.0001559432040213496,0.0011649889277285683,0.00099968,4.9984e-07,4.151347954845061e-05,0.004900003094275818,True,False,,,True,0.0001,mid_edit,measured,0.012040426517768378
