workload,size,arm,role,n,corpus_tokens,hit_rate,source,basis,modelled_usd,measured_usd,rel_error,within_10pct
code_unseen,S,agentic,live,37,1139248,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.144163,0.144163,-0.0,True
code_unseen,S,agentic,live,37,1139248,0.0,results/ws6c/scaling.csv,median_steady_state,0.050534,0.04697,0.0759,True
code_unseen,S,indexed,index,37,1139248,0.0,results/ws6c/scaling.csv,mean_billed,0.067719,0.067719,0.0,True
code_unseen,S,indexed,index,37,1139248,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.067719,0.067719,0.0,True
code_unseen,S,indexed,index,37,1139248,0.0,results/ws6c/scaling.csv,median_steady_state,0.042964,0.043554,-0.0135,True
code_unseen,S,indexed_topk3,index,37,1139248,0.0,results/ws6c/scaling.csv,mean_billed,0.092575,0.092575,-0.0,True
code_unseen,S,indexed_topk3,index,37,1139248,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.092575,0.092575,-0.0,True
code_unseen,S,indexed_topk3,index,37,1139248,0.0,results/ws6c/scaling.csv,median_steady_state,0.051916,0.047836,0.0853,True
code_unseen,M,agentic,live,37,2017476,0.0,results/ws6c/scaling.csv,mean_billed,0.18974,0.18974,0.0,True
code_unseen,M,agentic,live,37,2017476,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.18974,0.18974,0.0,True
code_unseen,M,agentic,live,37,2017476,0.0,results/ws6c/scaling.csv,median_steady_state,0.054124,0.053706,0.0078,True
code_unseen,M,indexed,index,37,2017476,0.0,results/ws6c/scaling.csv,mean_billed,0.079857,0.079857,0.0,True
code_unseen,M,indexed,index,37,2017476,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.079857,0.079857,0.0,True
code_unseen,M,indexed,index,37,2017476,0.0,results/ws6c/scaling.csv,median_steady_state,0.051226,0.052796,-0.0297,True
code_unseen,M,indexed_topk3,index,37,2017476,0.0,results/ws6c/scaling.csv,mean_billed,0.070456,0.070456,0.0,True
code_unseen,M,indexed_topk3,index,37,2017476,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.070456,0.070456,0.0,True
code_unseen,M,indexed_topk3,index,37,2017476,0.0,results/ws6c/scaling.csv,median_steady_state,0.042498,0.042412,0.002,True
code_unseen,L,agentic,live,37,4307363,0.0,results/ws6c/scaling.csv,mean_billed,0.139224,0.139224,-0.0,True
code_unseen,L,agentic,live,37,4307363,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.139224,0.139224,-0.0,True
code_unseen,L,agentic,live,37,4307363,0.0,results/ws6c/scaling.csv,median_steady_state,0.050354,0.050968,-0.012,True
code_unseen,L,indexed,index,37,4307363,0.0,results/ws6c/scaling.csv,mean_billed,0.094895,0.094895,0.0,True
code_unseen,L,indexed,index,37,4307363,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.094895,0.094895,0.0,True
code_unseen,L,indexed,index,37,4307363,0.0,results/ws6c/scaling.csv,median_steady_state,0.05007,0.05007,0.0,True
code_unseen,L,indexed_topk3,index,37,4307363,0.0,results/ws6c/scaling.csv,mean_billed,0.104954,0.104954,0.0,True
code_unseen,L,indexed_topk3,index,37,4307363,0.0,results/ws6c/scaling.csv,mean_uncached_list,0.104954,0.104954,0.0,True
code_unseen,L,indexed_topk3,index,37,4307363,0.0,results/ws6c/scaling.csv,median_steady_state,0.069218,0.07476,-0.0741,True
code_unseen,L,parametric,floor,37,4307363,0.0,results/ws6c/runs.csv (panel-filtered),mean_billed,0.003923,0.003923,0.0,True
code_unseen,L,parametric,floor,37,4307363,0.0,results/ws6c/runs.csv (panel-filtered),mean_uncached_list,0.003923,0.003923,0.0,True
code_unseen,L,parametric,floor,37,4307363,0.0,results/ws6c/runs.csv (panel-filtered),median_steady_state,0.003088,0.003104,-0.0052,True
