arm,recall_at_10,judge_correct
sq8_np512,0.9912878787878789,0.6742424242424242
refine_np64,0.9666666666666667,0.6818181818181818
sq8_np64,0.9655303030303031,0.6515151515151515
pca_uc_512_sq8_np512,0.9621212121212122,0.6590909090909091
pca_uc_384_sq8_np512,0.9242424242424243,0.6704545454545454
sq8_np16,0.909469696969697,0.6325757575757576
sq8_np8,0.8553030303030303,0.6325757575757576
pq_np256,0.8170454545454546,0.6666666666666666
sq8_np4,0.7901515151515153,0.5795454545454546
rabitq_np256,0.7803030303030303,0.6401515151515151
mrl_512_sq8_np512,0.7590909090909093,0.6325757575757576
