arm_a,arm_b,metric,branch,n,median,mean,ci_low,ci_high,n_positive,sign_p,excludes_zero
indexed_topk3,agentic,prompt_tokens,T3,40,584.5,38.525,-2572.0,2405.0,21,0.8746293123804207,False
indexed_topk3,agentic,judge_correct,n/a (not pre-registered),40,0.0,-0.05,0.0,0.0,1,0.625,False
indexed_topk3,agentic,turns,n/a (not pre-registered),40,-1.0,-0.65,-1.0,0.0,10,0.07075554598122835,False
indexed_topk3,indexed,prompt_tokens,plan:K_LESS,40,-4429.5,-5689.075,-8385.0,-1890.0,9,0.0006795482549932785,True
indexed_topk3,indexed,judge_correct,n/a (not pre-registered),40,0.0,-0.075,0.0,0.0,0,0.25,False
indexed_topk3,indexed,turns,n/a (not pre-registered),40,1.0,0.925,0.0,1.0,21,9.5367431640625e-07,False
