corpus,contrast_kind,arm_a,arm_b,size,span,metric,branch,n,median,mean,ci_low,ci_high,n_positive,sign_p,excludes_zero
agentic_hil,size_span,indexed,indexed,,L-S,turns,n/a (not pre-registered),37,0.0,0.3783783783783784,0.0,1.0,13,0.00738525390625,False
agentic_hil,size_span,indexed,indexed,,L-M,prompt_tokens,n/a (not pre-registered),37,905.0,6833.594594594595,205.0,2562.0,26,0.020073851919732988,True
agentic_hil,size_span,indexed,indexed,,L-M,judge_correct,n/a (not pre-registered),37,0.0,0.0,0.0,0.0,0,1.0,False
agentic_hil,size_span,indexed,indexed,,L-M,turns,n/a (not pre-registered),37,0.0,0.13513513513513514,0.0,0.0,5,0.453125,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-S,prompt_tokens,n/a (not pre-registered),37,112.0,5841.189189189189,-4191.0,11880.0,19,1.0,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-S,judge_correct,n/a (not pre-registered),37,0.0,-0.02702702702702703,0.0,0.0,0,1.0,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-S,turns,n/a (not pre-registered),37,0.0,0.43243243243243246,-1.0,1.0,16,0.855535551905632,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-M,prompt_tokens,n/a (not pre-registered),37,338.0,16128.486486486487,-1818.0,24340.0,21,0.5113757815852296,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-M,judge_correct,n/a (not pre-registered),37,0.0,-0.02702702702702703,0.0,0.0,0,1.0,False
agentic_hil,size_span,indexed_topk3,indexed_topk3,,L-M,turns,n/a (not pre-registered),37,0.0,0.7567567567567568,0.0,2.0,17,0.24778856337070465,False
